country, nMesurements,meanRTT,percentile25RTT,medianRTT,percentile75RTT,percentile90RTT,maxRTT
SS,3,618.0450000000001,517.7385,700.081,759.3695,794.9426000000001,818.658
CL,37,183.39397297297296,179.16,185.105,202.446,208.75740000000002,236.242
BQ,1,52.429,52.429,52.429,52.429,52.429,52.429
SI,50,161.25016000000002,159.454,161.8915,168.77949999999998,172.68470000000002,183.062
BW,4,311.55825,308.6335,312.972,315.89675,315.91610000000003,315.929
BD,9,250.4822222222222,239.956,243.855,246.765,269.1064,326.804
PF,1,359.735,359.735,359.735,359.735,359.735,359.735
MX,22,62.888681818181816,52.138250000000006,59.64,74.34199999999998,81.74839999999999,99.553
PY,3,203.811,184.8095,216.71,229.262,236.79319999999998,241.814
DE,1610,169.58389565217394,153.74325,164.1395,175.0245,185.52939999999998,3910.777
CK,4,184.31775000000002,182.56599999999997,184.064,185.81574999999998,187.06089999999998,187.891
CO,8,110.464625,80.65925,117.763,137.07175,147.0697,167.425
BY,32,187.09912500000002,179.93775,188.88299999999998,192.77525,201.0988,217.895
NZ,95,172.0014315789474,162.28050000000002,169.192,175.935,185.5242,246.713
HU,68,173.55075000000002,156.25824999999998,163.4495,177.7995,193.29010000000002,624.326
CG,1,325.303,325.303,325.303,325.303,325.303,325.303
PH,22,176.64118181818182,166.01925,169.12349999999998,187.5005,190.71130000000002,246.971
BR,67,192.85689552238804,178.846,188.152,208.65050000000002,223.35680000000002,426.685
HR,36,157.77802777777777,156.28099999999998,162.377,171.4025,180.1465,190.681
IL,49,207.9317142857143,179.087,199.788,209.601,214.9854,1137.111
CA,270,86.85755925925926,65.30475,76.325,83.05375000000001,96.2192,918.839
TJ,3,247.93966666666665,245.993,251.423,251.628,251.751,251.833
VC,1,175.808,175.808,175.808,175.808,175.808,175.808
AO,2,369.58349999999996,369.13075000000003,369.58349999999996,370.03625,370.30789999999996,370.489
UG,10,337.87499999999994,295.5065,312.07,323.79475,358.04449999999986,647.3
CW,5,117.11240000000002,104.031,115.139,119.082,133.6164,143.306
AD,10,191.51310000000004,185.342,191.26600000000002,198.9125,203.07889999999998,203.906
NA,2,311.356,307.615,311.356,315.09700000000004,317.3416,318.838
BM,1,103.913,103.913,103.913,103.913,103.913,103.913
GT,3,77.64133333333334,52.7215,53.747,90.614,112.7342,127.481
DZ,3,191.67866666666666,170.426,170.557,202.3705,221.4586,234.184
NP,18,267.02961111111114,262.90925,267.5005,271.31575,275.64480000000003,282.66
BG,98,175.30367346938777,171.207,176.45350000000002,185.5175,195.1496,214.922
LT,31,171.71651612903227,166.172,168.191,178.00349999999997,183.487,187.704
ZA,120,326.28695,290.43375,299.64599999999996,314.1965,329.9079000000001,3075.689
UY,16,215.78474999999997,211.00275,217.24450000000002,225.3395,234.4725,250.607
SR,1,148.106,148.106,148.106,148.106,148.106,148.106
CU,1,101.364,101.364,101.364,101.364,101.364,101.364
